Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
INPS,4.73,-92.4,17,05 Jun 2023,27 Jun 2023,4627957900,25633100,8899,A112,2023,06
INRU,-5.06,42.86,17,05 Jun 2023,27 Jun 2023,44163000,60300,134,B152,2023,06
INTA,0.0,-89.75,17,05 Jun 2023,27 Jun 2023,43983700,879600,100,C141,2023,06
INTD,-2.72,-25.42,17,05 Jun 2023,27 Jun 2023,92614600,520500,321,B152,2023,06
INTP,0.25,-46.21,17,05 Jun 2023,27 Jun 2023,531846742500,54551800,38388,B121,2023,06
IPAC,1.6,-3.79,17,05 Jun 2023,27 Jun 2023,15373100,128400,185,H111,2023,06
IPCC,10.87,-53.35,17,05 Jun 2023,27 Jun 2023,35578783500,47996900,9099,J113,2023,06
IPCM,2.8,-40.0,17,05 Jun 2023,27 Jun 2023,8616744200,29240500,4246,J113,2023,06
IPOL,4.73,74.16,17,05 Jun 2023,27 Jun 2023,152378100,1033100,409,B131,2023,06
IPPE,0.0,-50.0,17,05 Jun 2023,27 Jun 2023,58900000,1178000,374,D232,2023,06
