,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
418,NAGA,-16.87,19,01 Feb 2019,28 Feb 2019,22249267800,70212200,6409,,201902
419,NASA,-1.64,19,01 Feb 2019,28 Feb 2019,54247879000,89446000,307,,201902
420,NATO,31.37,19,01 Feb 2019,28 Feb 2019,206118149200,353915200,52138,,201902
421,NELY,2.94,19,01 Feb 2019,28 Feb 2019,87220900,619800,334,,201902
422,NFCX,15.71,19,01 Feb 2019,28 Feb 2019,11778133000,5008800,771,,201902
423,NICK,6.11,19,01 Feb 2019,28 Feb 2019,36130100,203800,105,,201902
424,NIKL,-5.38,19,01 Feb 2019,28 Feb 2019,2085205000,680500,1088,,201902
425,NIPS,-1.53,19,01 Feb 2019,28 Feb 2019,10296149200,26273000,5213,,201902
426,NIRO,14.44,19,01 Feb 2019,28 Feb 2019,483721700,5074500,188,,201902
427,NISP,-3.19,19,01 Feb 2019,28 Feb 2019,1570272500,1727000,619,,201902
428,NOBU,-1.55,19,01 Feb 2019,28 Feb 2019,6009887000,6241000,98,,201902
429,NRCA,4.35,19,01 Feb 2019,28 Feb 2019,6476867600,14998700,2378,,201902
430,NUSA,-5.88,19,01 Feb 2019,28 Feb 2019,35629335100,353442000,21230,,201902
431,OASA,-19.05,19,01 Feb 2019,28 Feb 2019,274936400,772700,87,,201902
432,OCAP,72.94,19,01 Feb 2019,28 Feb 2019,1258100,5300,33,,201902
433,OKAS,-3.95,19,01 Feb 2019,28 Feb 2019,18695600,108600,131,,201902
434,OMRE,0.0,19,01 Feb 2019,28 Feb 2019,179000,100,1,,201902
435,PADI,-2.99,19,01 Feb 2019,28 Feb 2019,3828674000,5906100,1459,,201902
436,PALM,-2.92,19,01 Feb 2019,28 Feb 2019,223961200,801800,411,,201902
437,PANI,-34.36,19,01 Feb 2019,28 Feb 2019,4482663100,39379700,5419,,201902
438,PANR,-0.98,19,01 Feb 2019,28 Feb 2019,9792239000,24218600,4129,,201902
439,PANS,0.0,19,01 Feb 2019,28 Feb 2019,4992527500,3574200,1640,,201902
440,PBID,-4.44,19,01 Feb 2019,28 Feb 2019,5685067000,5303700,832,,201902
441,PBRX,-0.9,19,01 Feb 2019,28 Feb 2019,34071727000,62502500,978,,201902
442,PBSA,7.69,19,01 Feb 2019,28 Feb 2019,103808500,157900,230,,201902
443,PCAR,-0.87,19,01 Feb 2019,28 Feb 2019,936240000,205300,50,,201902
444,PDES,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
445,PEGE,-2.79,19,01 Feb 2019,28 Feb 2019,861066900,4606800,712,,201902
446,PEHA,-10.43,19,01 Feb 2019,28 Feb 2019,8626888000,3442000,2381,,201902
447,PGAS,-1.17,19,01 Feb 2019,28 Feb 2019,3199361908000,1267024200,125585,,201902
448,PGLI,9.09,19,01 Feb 2019,28 Feb 2019,14431600,63800,117,,201902
449,PICO,3.05,19,01 Feb 2019,28 Feb 2019,35513600,133600,247,,201902
450,PJAA,7.69,19,01 Feb 2019,28 Feb 2019,126316000,91900,119,,201902
451,PKPK,-1.89,19,01 Feb 2019,28 Feb 2019,7407420700,63020900,5511,,201902
452,PLAS,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
453,PLIN,7.71,19,01 Feb 2019,28 Feb 2019,38401000,10600,38,,201902
454,PNBN,15.25,19,01 Feb 2019,28 Feb 2019,318604379000,213433800,18956,,201902
455,PNBS,18.03,19,01 Feb 2019,28 Feb 2019,30548220400,450562900,12375,,201902
456,PNIN,19.3,19,01 Feb 2019,28 Feb 2019,58530300000,44955300,8484,,201902
457,PNLF,46.71,19,01 Feb 2019,28 Feb 2019,542622732200,1447576900,44159,,201902
458,PNSE,1.41,19,01 Feb 2019,28 Feb 2019,73560000,92800,116,,201902
459,POLA,-11.15,19,01 Feb 2019,28 Feb 2019,1204032500,783700,348,,201902
460,POLI,-14.55,19,01 Feb 2019,28 Feb 2019,374288500,315900,443,,201902
461,POLL,-4.89,19,01 Feb 2019,28 Feb 2019,252142000,165700,291,,201902
462,POLY,-1.18,19,01 Feb 2019,28 Feb 2019,13163123100,77046500,5811,,201902
463,POOL,5.16,19,01 Feb 2019,28 Feb 2019,3725542581500,759433500,8281,,201902
464,PORT,-1.79,19,01 Feb 2019,28 Feb 2019,2429000,4400,5,,201902
465,POWR,16.07,19,01 Feb 2019,28 Feb 2019,112050224000,119135900,10008,,201902
466,PPRE,8.05,19,01 Feb 2019,28 Feb 2019,38562090800,104057200,18313,,201902
467,PPRO,-0.63,19,01 Feb 2019,28 Feb 2019,184665777200,1136834500,43821,,201902
468,PRAS,0.53,19,01 Feb 2019,28 Feb 2019,788313000,4212100,166,,201902
469,PRDA,23.53,19,01 Feb 2019,28 Feb 2019,43996521000,15066700,2922,,201902
470,PRIM,-0.8,19,01 Feb 2019,28 Feb 2019,461243400,944100,308,,201902
471,PSAB,-12.16,19,01 Feb 2019,28 Feb 2019,10640885400,50921300,4789,,201902
472,PSDN,-11.68,19,01 Feb 2019,28 Feb 2019,41050900,167400,111,,201902
473,PSKT,0.0,19,01 Feb 2019,28 Feb 2019,2425000,48500,27,,201902
474,PSSI,2.35,19,01 Feb 2019,28 Feb 2019,17535833000,98282000,7893,,201902
475,PTBA,-7.66,19,01 Feb 2019,28 Feb 2019,1098870087000,264091800,72493,,201902
476,PTIS,4.55,19,01 Feb 2019,28 Feb 2019,6446600,23800,25,,201902
477,PTPP,-14.53,19,01 Feb 2019,28 Feb 2019,1252158540500,586290800,61902,,201902
478,PTRO,-2.52,19,01 Feb 2019,28 Feb 2019,26433280000,13659700,6544,,201902
479,PTSN,2.28,19,01 Feb 2019,28 Feb 2019,105516520500,60683200,31018,,201902
480,PTSP,0.34,19,01 Feb 2019,28 Feb 2019,730000000,100000,15,,201902
481,PUDP,-2.19,19,01 Feb 2019,28 Feb 2019,25381800,64200,101,,201902
482,PWON,-4.62,19,01 Feb 2019,28 Feb 2019,433599885000,662688400,82339,,201902
483,PYFA,7.06,19,01 Feb 2019,28 Feb 2019,13397400,72400,41,,201902
484,PZZA,12.2,19,01 Feb 2019,28 Feb 2019,20151441500,17689700,3485,,201902
485,RAJA,-10.77,19,01 Feb 2019,28 Feb 2019,7323508200,19358800,4259,,201902
486,RALS,11.46,19,01 Feb 2019,28 Feb 2019,320309113500,184561500,29993,,201902
487,RANC,17.65,19,01 Feb 2019,28 Feb 2019,924335800,2585200,162,,201902
488,RBMS,-5.61,19,01 Feb 2019,28 Feb 2019,13892093300,128537000,15329,,201902
489,RDTX,8.18,19,01 Feb 2019,28 Feb 2019,174780000,28300,49,,201902
490,RELI,-4.8,19,01 Feb 2019,28 Feb 2019,27186000,121800,109,,201902
491,RICY,0.0,19,01 Feb 2019,28 Feb 2019,3608451100,20703800,991,,201902
492,RIGS,10.13,19,01 Feb 2019,28 Feb 2019,37814202600,100983000,14622,,201902
493,RIMO,-1.49,19,01 Feb 2019,28 Feb 2019,2929755435600,21542644800,25009,,201902
494,RISE,0.0,19,01 Feb 2019,28 Feb 2019,17785766500,35273400,4409,,201902
495,RMBA,16.46,19,01 Feb 2019,28 Feb 2019,423552200,1193700,705,,201902
496,RODA,-9.72,19,01 Feb 2019,28 Feb 2019,5584143800,14398400,192,,201902
497,ROTI,-4.51,19,01 Feb 2019,28 Feb 2019,57685594500,48545300,4597,,201902
498,RUIS,2.46,19,01 Feb 2019,28 Feb 2019,20156200,82700,58,,201902
499,SAFE,16.02,19,01 Feb 2019,28 Feb 2019,441636700,2148100,348,,201902
500,SAME,2.68,19,01 Feb 2019,28 Feb 2019,22251468000,40161400,11145,,201902
501,SAPX,10.0,19,01 Feb 2019,28 Feb 2019,78904000,114200,95,,201902
502,SATU,4.24,19,01 Feb 2019,28 Feb 2019,3118373100,26154000,2259,,201902
503,SCBD,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
504,SCCO,4.97,19,01 Feb 2019,28 Feb 2019,1773897500,204900,317,,201902
505,SCMA,-7.16,19,01 Feb 2019,28 Feb 2019,317331006000,177293600,48638,,201902
506,SCPI,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
507,SDMU,18.52,19,01 Feb 2019,28 Feb 2019,14126942600,213822100,10256,,201902
508,SDPC,8.08,19,01 Feb 2019,28 Feb 2019,318765300,3035700,262,,201902
509,SDRA,0.0,19,01 Feb 2019,28 Feb 2019,11567000,13800,22,,201902
510,SGRO,1.3,19,01 Feb 2019,28 Feb 2019,4365132000,1879300,403,,201902
511,SHID,-7.84,19,01 Feb 2019,28 Feb 2019,3159513500,655700,725,,201902
512,SHIP,0.61,19,01 Feb 2019,28 Feb 2019,40471599500,48532700,6849,,201902
513,SIAP,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
514,SIDO,26.22,19,01 Feb 2019,28 Feb 2019,120316361500,133458300,15103,,201902
515,SILO,5.59,19,01 Feb 2019,28 Feb 2019,66374095000,18108400,12014,,201902
516,SIMA,1.33,19,01 Feb 2019,28 Feb 2019,221105351800,690044500,4514,,201902
517,SIMP,-6.67,19,01 Feb 2019,28 Feb 2019,35739949200,71443200,6934,,201902
518,SIPD,-5.94,19,01 Feb 2019,28 Feb 2019,727456000,744500,172,,201902
519,SKBM,-10.71,19,01 Feb 2019,28 Feb 2019,49607200,111400,136,,201902
520,SKLT,0.0,19,01 Feb 2019,28 Feb 2019,150000,100,1,,201902
521,SKRN,0.0,19,01 Feb 2019,28 Feb 2019,47275440400,106712300,14588,,201902
522,SKYB,51.28,19,01 Feb 2019,28 Feb 2019,641839400,3345400,1032,,201902
523,SMAR,-0.49,19,01 Feb 2019,28 Feb 2019,749810000,182200,38,,201902
524,SMBR,-5.54,19,01 Feb 2019,28 Feb 2019,13348344000,8433500,5726,,201902
525,SMCB,0.51,19,01 Feb 2019,28 Feb 2019,290573307500,145393400,8487,,201902
526,SMDM,-0.61,19,01 Feb 2019,28 Feb 2019,167325200,959300,425,,201902
527,SMDR,-8.42,19,01 Feb 2019,28 Feb 2019,15162030000,41437800,7760,,201902
528,SMGR,-0.2,19,01 Feb 2019,28 Feb 2019,1210121307500,95809100,61522,,201902
529,SMMA,-5.63,19,01 Feb 2019,28 Feb 2019,6915000,900,6,,201902
530,SMMT,-0.57,19,01 Feb 2019,28 Feb 2019,672564200,3787600,751,,201902
531,SMRA,-9.18,19,01 Feb 2019,28 Feb 2019,305902857500,321007500,39894,,201902
532,SMRU,-6.53,19,01 Feb 2019,28 Feb 2019,1168324200,2485100,317,,201902
533,SMSM,7.95,19,01 Feb 2019,28 Feb 2019,240562710000,144220800,39537,,201902
534,SOCI,-4.76,19,01 Feb 2019,28 Feb 2019,45293231300,260343100,15836,,201902
535,SONA,-0.88,19,01 Feb 2019,28 Feb 2019,565000,100,1,,201902
536,SOSS,11.76,19,01 Feb 2019,28 Feb 2019,1165211100,2432900,1601,,201902
537,SOTS,-15.25,19,01 Feb 2019,28 Feb 2019,100508400,321300,293,,201902
538,SPMA,7.87,19,01 Feb 2019,28 Feb 2019,483004000,1765500,189,,201902
539,SPTO,22.5,19,01 Feb 2019,28 Feb 2019,302504377000,320355800,17744,,201902
540,SQMI,13.49,19,01 Feb 2019,28 Feb 2019,174603717000,562582100,40130,,201902
