Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
MLIA,--U-2135000000C121------------,1905,0,22 Feb 2022,1915,1825,1860,-45,6719900,12520353000,661
MLPL,--M-1135400000C311------------,234,0,22 Feb 2022,244,218,220,-14,258862300,59292074600,15088
MLPT,--U-1135000000I121------------,4000,0,22 Feb 2022,4020,3850,3950,-50,5611800,22154914000,1140
MMLP,--M-2835000000H111------------,464,0,22 Feb 2022,470,452,462,-2,12877600,5882550200,1017
MNCN,--MO1S7CMK0000E612------------,920,915,22 Feb 2022,920,890,895,-25,39848900,35936082500,4965
MOLI,--U-2105000000B111------------,406,0,22 Feb 2022,406,386,394,-12,202900,80039000,78
MPMX,--M-1875200000E745------------,995,0,22 Feb 2022,1005,990,1005,10,5922300,5910493500,1739
MPOW,--U-2130000000J411------------,100,0,22 Feb 2022,105,98,98,-2,12902900,1318588200,3576
MPPA,--U-1135000000D113------------,286,0,22 Feb 2022,304,270,276,-10,281570900,80754433000,23401
MPRO,--U-2105000000H111------------,870,0,22 Feb 2022,890,815,885,15,7900,6558500,26
MRAT,--M-1130000000D421------------,252,0,22 Feb 2022,252,242,242,-10,1498400,367888400,305
MREI,--U-2105000000G414------------,3680,0,22 Feb 2022,0,0,3680,0,0,0,0
MSIN,--U-1135000000E621------------,6250,0,22 Feb 2022,6375,5850,6000,-250,2386600,14482647500,2979
MSKY,--U-1130000000E613------------,470,0,22 Feb 2022,585,490,580,110,128867300,70933743700,25302
MTDL,--M-1835000000I221------------,675,0,22 Feb 2022,680,660,665,-10,10590500,7053470000,2588
MTEL,--U-1130000000J321------------,760,0,22 Feb 2022,765,760,765,5,30823300,23464915000,4764
MTFN,--U-2135000000A112-E----------,50,0,22 Feb 2022,50,50,50,0,100,5000,1
MTLA,--U-1135000000H111------------,350,0,22 Feb 2022,358,340,350,0,34300,11856800,49
MTPS,--U-2130000000J211------------,96,0,22 Feb 2022,98,95,96,0,2232500,214162100,259
MTRA,--U-2100000000J211B--L---Y---X,244,0,22 Feb 2022,0,0,244,0,0,0,0
MTSM,--U-2130000000H111------------,352,0,22 Feb 2022,352,330,348,-4,41800,13991200,44
MTWI,--U-2100000000G412------------,163,0,22 Feb 2022,166,159,160,-3,3890100,631870300,855
MYOH,--U-1135000000A132------------,1790,0,22 Feb 2022,1785,1770,1785,-5,34400,61368000,7
MYOR,--M-187RM30000D222------------,1820,0,22 Feb 2022,1845,1775,1785,-35,5901400,10582362500,4361
MYRX,--U-2105000000H111B--L---Y---X,50,0,22 Feb 2022,0,0,50,0,0,0,0
MYRXP,--U-2100000000H111------------,50,0,22 Feb 2022,0,0,50,0,0,0,0
MYTX,--U-1100000000E413-E----------,80,0,22 Feb 2022,81,79,80,0,325700,25888900,42
NASA,--U-2130000000E512------------,50,0,22 Feb 2022,50,50,50,0,495600,24780000,21
