No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
138,BTON,Betonjaya Manunggal Tbk.,--U-213000000033--------------,206,0,10 Nov 2020,0,206,196,196,-10,13800,2708400,11,654.6,206,14100,196,19200,720000000,720000000,720000000,0,0,0,0,0
139,BTPN,Bank BTPN Tbk.,--U-115500000081--------------,2300,0,10 Nov 2020,0,2390,2320,2380,80,223400,527895000,182,460.7,2390,4600,2380,7200,8065879461,8065879461,8065879461,0,200,0,0,0
140,BTPS,Bank BTPN Syariah Tbk.,--MO1XRCM3000081--------------,3890,3980,10 Nov 2020,3980,4480,3970,4400,510,24471400,104693811000,9165,451.3,4400,241600,4390,5800,7626663000,7626663000,7626663000,6710300,12408000,300070,1292701700,2
141,BUDI,Budi Starch & Sweetener Tbk.,--U-113000000051--------------,97,0,10 Nov 2020,0,98,95,96,-1,523600,50432600,56,52.0,97,140400,96,457700,4498997362,4498997362,4498997362,0,0,0,0,0
142,BUKK,Bukaka Teknik Utama Tbk.,--U-213500000075--------------,705,0,10 Nov 2020,0,720,720,720,15,2000,1440000,6,122.0,740,105700,720,21700,2640452000,2640452000,2640452000,0,0,0,0,0
143,BULL,Buana Lintas Lautan Tbk.,--M-183556000074--------------,326,0,10 Nov 2020,0,330,324,326,0,217977100,71469446000,3964,31.9,326,709900,324,2994600,12377440787,12377440787,12377440787,5605700,574200,131474,43123472,2
144,BUMI,Bumi Resources Tbk.,--U-210500000021--------------,50,0,10 Nov 2020,0,51,50,50,0,43973600,2198680100,349,2.9,50,18759500,0,0,68228705555,68228705555,68228705555,43704500,10001200,15700000,785000000,1
145,BUVA,Bukit Uluwatu Villa Tbk.,--U-213000000094--------------,53,0,10 Nov 2020,0,55,52,55,2,23700,1251100,11,42.3,55,50000,54,30000,6811269200,6811269200,6811269200,0,0,0,0,0
146,BVIC,Bank Victoria International Tbk.,--U-110000000081--------------,103,0,10 Nov 2020,0,105,102,103,0,2048400,211545500,315,97.4,104,275100,103,256900,8862427568,8862427568,8862427568,0,100000,0,0,0
147,BWPT,Eagle High Plantations Tbk.,--U-110500000012--------------,102,0,10 Nov 2020,0,104,100,101,-1,49900200,5068693400,1655,22.1,102,5267100,101,2026700,31525291000,31525291000,31525291000,0,918200,0,0,0
